Name	HMDB_ID
001, RAD	HMDB0015529
0211, SPI	HMDB0015180
027, FK	HMDB0014809
03-(2-Morpholinoethyl)-morphine	HMDB0041984
073, AMG	HMDB0015147
10,11-dihydro-10-oxo-5H-Dibenz(b,F)azepine-5-carboxamide	HMDB0014914
10,11-dihydro-5-(gamma-Dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene	HMDB0014466
10,11-dihydro-5-(g-Dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene	HMDB0014466
10,11-dihydro-5-(γ-dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene	HMDB0014466
10,11 dihydro-N,N,beta-Trimethyl-5H-dibenz(b,F)azepine-5-propanamine	HMDB0014864
10,11-dihydro-N,N,beta-Trimethyl-5H-dibenz[b,F]azepine-5-propanamine	HMDB0014864
10,11-dihydro-N,N,b-Trimethyl-5H-dibenz[b,F]azepine-5-propanamine	HMDB0014864
10,11-dihydro-N,N-Dimethyl-5H-dibenz[b,F]azepine-5-propanamine	HMDB0001848
10,11-dihydro-N,N-Dimethyl-5H-dibenzo(a,D)heptalene-Delta(5),gamma-propylamine	HMDB0014466
10,11-dihydro-N,N-Dimethyl-5H-dibenzo(a,D)heptalene-delta(5),g-propylamine	HMDB0014466
10,11-dihydro-N,N-Dimethyl-5H-dibenzo(a,D)heptalene-δ(5),g-propylamine	HMDB0014466
10,11-dihydro-N,N-Dimethyl-5H-dibenzo(a,D)heptalene-δ(5),γ-propylamine	HMDB0014466
10,11-dihydro-N,N,β-trimethyl-5H-dibenz[b,F]azepine-5-propanamine	HMDB0014864
(-)-10,11-Dihydroxyaporphine	HMDB0014852
10-(1',5'-Anhydroglucosyl)aloe-emodin-9-anthrone	HMDB0035219
10-[2-(1-Methyl-2-piperidyl)ethyl]-2-methylsulfanyl-phenothiazine	HMDB0014817
10-(2-(1-Methyl-2-piperidyl)ethyl)-2-methylsulfinyl phenothiazine	HMDB0015068
10-(2(1-Methyl-2-piperidyl)ethyl)-2-(methylsulfinyl)phenothiazine	HMDB0015068
