Name	HMDB_ID
0211, SPI	HMDB0015180
10,10-dibromo-9(10H)-Anthracenone	HMDB0041543
10,11-dihydro-8-(1-Methylethyl)-11-(2-methylpropylidene)-6H-oxepino[2,3-D]pyrazino[1,2-a]pyrimidine-6,9(8H)-dione, 9ci	HMDB0035218
10,11-Epidioxycalamene	HMDB0041062
10,12-Dotriacontanedione	HMDB0035530
10,12-Hexacosanedione	HMDB0035550
10,12-Nonacosanedione	HMDB0035536
10,12-Octacosanedione	HMDB0035540
10,12-Pentacosanedione	HMDB0035555
10,12-Peroxycalamenene	HMDB0041062
10,12-Tetracosanedione	HMDB0035559
10,12-Triacontanedione	HMDB0035534
10,12-Tritriacontanedione	HMDB0035578
10-(1',5'-Anhydroglucosyl)aloe-emodin-9-anthrone	HMDB0035219
10-(3,4-Methylenedioxyphenyl)-9-decenoic acid pyrrolidide	HMDB0033959
10a-Isopregnenone	HMDB0014522
10alpha-Isopregnenone	HMDB0014522
10-amino-2,3-Dimethoxy-4-hydroxyphenanthrene-1-carboxylic acid lactam	HMDB0038583
10-b-D-Glucopyranosyl-1,8-dihydroxy-3-(hydroxymethyl)-9(10H)-anthracenone, 9ci	HMDB0035219
(10b)Orthoboric acid	HMDB0035731
10-chloro-1-Heptadecene-4,6-diyne-3,9-diol	HMDB0039534
10-chloro-3,9-Dihydroxyheptadec-1-en-4,6-diyne	HMDB0039534
[10]-Dehydroshogaol	HMDB0033126
10-Eicosene	HMDB0040709
10-Gingerol	HMDB0005783
(10)-Gingerol	HMDB0033616
[10]-Gingerol	HMDB0033616
10-Hydroxy-8-decenoic acid, (e)-isomer	HMDB0039533
10-Icosene	HMDB0040709
10-Iodooctadecanoyl carnitine	HMDB0035734
10-Iodostearyl carnitine	HMDB0035734
10-Methoxy-1,5,9-trimethyl-(1R,4S,5R,8S,9R,10S,12R,13R)-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecane	HMDB0015643
10-Methoxymedicarpin	HMDB0034008
10-Methoxyyangonin	HMDB0033018
10-Methyl-9(10H)-acridinone, 9ci	HMDB0033000
10-Methyl-9(10H)-acridinone	HMDB0033000
10-Methyl-9(10H)-acridone	HMDB0033000
10-Methyl-9-acridanone, 8ci	HMDB0033000
10-Methyl-9-acridanone	HMDB0033000
10-Methylacridin-9(10H)-one	HMDB0033000
10-Methylacridone	HMDB0033000
10-Methylacridon	HMDB0033000
10-(Methylsulfinyl)decyl isothiocyanate	HMDB0039082
10-Monoiodooctadecanoyl carnitine	HMDB0035734
10-Monoiodostearyl carnitine	HMDB0035734
10-Nonacosanone	HMDB0033719
10-O-Demethylflavasperone 10-gentiobioside	HMDB0034609
[10]-Paradol	HMDB0040642
(10R,11R)-Pterosin L	HMDB0035874
(10S,11R)-Pterosin C 4-glucoside	HMDB0038717
10-Undecen-2-one	HMDB0033577
10α-isopregnenone	HMDB0014522
1-[10-(1,3-Benzodioxol-5-yl)-1-oxo-9-decenyl]pyrrolidine	HMDB0033959
1,10-Dimethoxy-6a-alpha-noraporphine-2,9-diol	HMDB0040974
1,1'-[1,11-Undecanediylbis(oxy)]bisbenzene, 9ci	HMDB0039762
1,1'-[1,11-Undecanediylbis(oxy)]bisbenzene	HMDB0039762
1,1'-[1,12-Dodecanediylbis(oxy)]bisbenzene, 9ci	HMDB0039760
1,1'-[1,12-Dodecanediylbis(oxy)]bisbenzene	HMDB0039760
1,1',1''-(1,3,5-Cyclohexanetriyl)trisbenzene, 9ci	HMDB0037518
1,1'-[1,13-Tridecanediylbis(oxy)]bisbenzene, 9ci	HMDB0039761
1,1'-[1,13-Tridecanediylbis(oxy)]bisbenzene	HMDB0039761
1,1',1'',1'''-[dithiobis(carbonothioylnitrilo)]tetraethane	HMDB0034335
1,1,1,2,2,3,3,3-Octafluoropropane	HMDB0014696
1,1'-(1,2-Cyclobutanediyl)bisbenzene, 9ci	HMDB0031821
11,13-Dotriacontanedione	HMDB0035576
11,13-Hexacosanedione	HMDB0035549
11,13-Octacosanedione	HMDB0035539
11,13-Triacontanedione	HMDB0035533
1,1'-(1,4-dihydro-4-Nonyl-3,5-pyridinediyl)bis[1-decanone], 9ci	HMDB0035517
1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-decanone]	HMDB0035517
1,1'-(1,4-dihydro-4-Nonyl-3,5-pyridinediyl)bis[1-dodecanone], 9ci	HMDB0035519
1,1'-(1,4-Dihydro-4-nonyl-3,5-pyridinediyl)bis[1-dodecanone]	HMDB0035519
1,11-dihydro-5-Hydroxy-11-methyl-2-(1-methylethenyl)furo[2,3-c]acridin-6(2H)-one	HMDB0033852
1,11-Diphenoxyundecane	HMDB0039762
1,1'-(1-Methyl-1,3-propanediyl)bis-benzene	HMDB0031821
1,1'-(1-Methyl-1,3-propanediyl)bis-(R)-benzene	HMDB0031821
1,1,1-Trifluoromethanesulfonate	HMDB0036577
1,1,1-trifluoro-Methanesulfonic acid	HMDB0036577
1,1,1-Trifluoromethanesulfonic acid	HMDB0036577
1,1,1-Trifluoromethanesulphonate	HMDB0036577
1,1,1-Trifluoromethanesulphonic acid	HMDB0036577
1-(1-(2,5-Dimethoxyphenyl)azo)-2-naphthol	HMDB0037521
1,12-Diphenoxydodecane	HMDB0039760
1-(1,2-Dithian-3-yl)ethanone	HMDB0040230
1,1'-(3,5-Pyridinediyl)bis-1-decanone, 9ci	HMDB0035515
1,13-diamino-5,9-Diazatridecane	HMDB0039429
1,13-Diphenoxytridecane	HMDB0039761
1-(1,3-Thiazol-2-yl)ethanone	HMDB0032964
1,13-Tridecanolide	HMDB0040451
1-(1,4,5,6-tetrahydro-2-Pyridinyl)-1-propanone, 9ci	HMDB0034884
1-[1,4-dihydro-4-Nonyl-5-(1-oxodecyl)-3-pyridinyl]-1-dodecanone, 9ci	HMDB0035518
1-[1,4-Dihydro-4-nonyl-5-(1-oxodecyl)-3-pyridinyl]-1-dodecanone	HMDB0035518
1-(1,4-Dihydroxybutyl)-9H-pyrido[3,4-b]indole	HMDB0035193
1-(1,4-Dimethyl-3-cyclohexen-1-yl)-ethanone	HMDB0037024
1-(1,4-Dimethyl-3-cyclohexen-1-yl)ethanone	HMDB0037024
1-(1,4-Dimethyl-3-cyclohexenyl)ethanone	HMDB0037024
11-(4-dimethylamino-PHENYL)-17-hydroxy-13-methyl-17-prop-1-ynyl-1,2,6,7,8,11,12,13,14,15,16,17-dodec ahydro-cyclopenta[a]phenanthren-3-one	HMDB0014972
1-(1,4-Dimethylcyclohex-3-en-1-yl)ethan-1-one	HMDB0037024
1-(1,4-Dimethylcyclohex-3-enyl)ethanone	HMDB0037024
1, 15-Pentadecanolide	HMDB0034455
1,15-Pentadecanolide	HMDB0034455
1,1,6-Trimethyl-1,2-dihydro-naphthalene	HMDB0040284
1,1,6-Trimethyl-1,2-dihydronaphthalene	HMDB0040284
1,1,6-Trimethyl-2H-naphthalene	HMDB0040284
1-(17-(Acetoyl)-3-hydroxy-2-(4-morpholinyl)androstan-16-yl)-1-(2-propenyl)pyrrolidinium	HMDB0014866
1,17-Diamino-4,9,13-triazaheptadecane	HMDB0039492
1,18-Diamino-5,9,14-triazaoctadecane	HMDB0039491
(11a,17b)-11,17-Dihydroxy-17-methyl-3-oxo-androsta-1,4-diene-2-carboxaldehyde	HMDB0004631
11a,17b-Dihydroxy-17-methyl-3-oxo-androsta-1,4-diene-2-carboxaldehyde	HMDB0004631
11a,17b-Dihydroxy-17-methyl-3-oxoandrosta-1,4-diene-2-carboxaldehyde	HMDB0004631
1-[1-(Acetyloxy)-1-cyclohexyl]ethanone, 9ci	HMDB0039710
1-(1-(Acetyloxy)cyclohexyl)-ethanone	HMDB0039710
1-(1-(Acetyloxy)cyclohexyl)ethanone	HMDB0039710
1,1'-Azobiscarbamide	HMDB0029616
1,1-Azobisformamide	HMDB0029616
1,1'-Azobis[formamide]	HMDB0029616
1,1'-Azodiformamide	HMDB0029616
(11b,16a)-16,17-(Butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione	HMDB0015353
11b,16a,17a,21-Tetrahydroxy-9a-fluoro-1,4-pregnadiene-3,20-dione	HMDB0014758
(11b,16a)-9-fluoro-11,21-Dihydroxy-16-methylpregna-1,4-diene-3,20-dione	HMDB0014687
(11b,16b)-21-chloro-9-fluoro-11,17-Dihydroxy-16-methylpregna-1,4-diene-3,20-dione	HMDB0015148
(11b,16b)-9-chloro-11-Hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione	HMDB0014538
11b,17b-Dihydroxy-9a-fluoro-17a-methyl-4-androster-3-one	HMDB0015316
11b,21-Dihydroxy-16a,17-[(1-methylethylidene)bis(oxy)]pregna-1,4-diene-3,20-dione	HMDB0015389
11b,21-Dihydroxy-16a,17a-isopropylidenedioxypregna-1,4-diene-3,20-dione	HMDB0015389
11b,21-Dihydroxy-16a,17-isopropylidenedioxypregna-1,4-diene-3,20-dione	HMDB0015389
(11beta,16alpha)-16,17-(Butylidenebis(oxy))-11,21-dihydroxypregna-1,4-diene-3,20-dione	HMDB0015353
11beta,16alpha,17alpha,21-Tetrahydroxy-9alpha-fluoro-1,4-pregnadiene-3,20-dione	HMDB0014758
(11beta,16alpha)-9-fluoro-11,21-Dihydroxy-16-methylpregna-1,4-diene-3,20-dione	HMDB0014687
(11beta,16beta)-21-chloro-9-fluoro-11,17-Dihydroxy-16-methylpregna-1,4-diene-3,20-dione	HMDB0015148
(11beta,16beta)-9-chloro-11-Hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione	HMDB0014538
11beta,17beta-Dihydroxy-9alpha-fluoro-17alpha-methyl-4-androster-3-one	HMDB0015316
11beta,21-Dihydroxy-16alpha,17-[(1-methylethylidene)bis(oxy)]pregna-1,4-diene-3,20-dione	HMDB0015389
11beta,21-Dihydroxy-16alpha,17alpha-isopropylidenedioxypregna-1,4-diene-3,20-dione	HMDB0015389
11beta,21-Dihydroxy-16alpha,17-isopropylidenedioxypregna-1,4-diene-3,20-dione	HMDB0015389
11 beta-Hydroxy-16 alpha,17 alpha,21-trimethylpregna-1,4-diene-3,20-dione	HMDB0015033
11beta-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione	HMDB0014398
11b-Hydroxy-6a-methylpregn-4-ene-3,20-dione	HMDB0014398
1,1'-Biphenyl, 9ci	HMDB0034437
1,1'-Biphenyl, butenylated	HMDB0034437
1,1-Biphenyl	HMDB0034437
1,1'-Biphenyl	HMDB0034437
1,1'-Bis(2-hydroxy-3-methylcarbazole)	HMDB0040776
1-[[1-Carboxy-2-(1H-imidazol-4-yl)ethyl]amino]-1-deoxyfructose, 9ci	HMDB0037839
1-[[1-Carboxy-2-(1H-indol-3-yl)ethyl]amino]-1-deoxyfructose, 9ci	HMDB0037847
1-[[1-Carboxy-2-(4-hydroxyphenyl)ethyl]amino]-1-deoxyfructose, 9ci	HMDB0037845
1-[(1-Carboxy-2-hydroxyethyl)amino]-1-deoxyfructose, 9ci	HMDB0037842
1-[(1-Carboxy-2-hydroxypropyl)amino]-1-deoxyfructose, 9ci	HMDB0037843
1-[(1-Carboxy-2-methylbutyl)amino]-1-deoxyfructose	HMDB0039780
1-[(1-Carboxy2-methylpropyl)amino]-1-deoxyfructose, 9ci	HMDB0037844
1-[(1-Carboxy-2-phenylethyl)amino]-1-deoxyfructose, 9ci	HMDB0037846
1-[(1-Carboxy-3-methylbutyl)amino]-1-deoxyfructose, 9ci	HMDB0037840
1-[[1-Carboxy-3-(methylthio)propyl]amino]-1-deoxyfructose, 9ci	HMDB0037841
1-[(1-Carboxyethyl)amino]-1-deoxyfructose, 9ci	HMDB0038662
1,1-Dacae	HMDB0041140
11-Deoxyaloin	HMDB0039379
1-(1-Deoxy-D-fructos-1-yl)-L-proline	HMDB0038493
1,1-Di-1-tryptophylethane	HMDB0034899
1,1-Dibromo-1-chloro-2-propanone	HMDB0040187
1,1-dibromo-1-Chloroacetone	HMDB0040187
1,1-Dibromo-2-propanone	HMDB0040188
1,1-Dibromo-3-iodo-2-propanone	HMDB0040189
1,1-dibromo-3-Iodoacetone	HMDB0040189
1,1-Dibromoacetone	HMDB0040188
1,1-Dibromopropanone 1,1-dibromoacetone	HMDB0040188
1,1-Dibromopropanone	HMDB0040188
1,1-Dicyclopropyl-N-(2-oxazolinyl)-methylamine	HMDB0041169
1,1-Diethoxy-2,6-nonadiene	HMDB0038078
1,1-Diethoxy-2-phenylethane	HMDB0041610
1,1-Diethoxy-3-(methylthio)propane	HMDB0041608
1,1-Di(hexyloxy)ethane	HMDB0038678
1,1-Dihexyloxyethane	HMDB0038678
1,1-Diisobutoxy-2-phenylethane	HMDB0037712
1,1-Diisopropylethanol	HMDB0036166
1,1-Dimethoxy-2-amyl-3-phenyl-2-propene	HMDB0036221
1,1-Dimethoxy-2-benzylideneheptane	HMDB0036221
1,1'-Dimethoxy-3,3'-dimethyl-4,9'-bi-9H-carbazole, 9ci	HMDB0040787
1,1-Dimethyl-1-propanol	HMDB0033772
1,1-Dimethyl-2-phenylethyl butanoate	HMDB0040226
1,1-Dimethyl-2-phenylethyl butyrate	HMDB0040226
1,1-Dimethyl-2-propanol	HMDB0033854
1, 1-Dimethyl-2-propenol	HMDB0033854
1,1-Dimethyl-2-propenol	HMDB0033854
1,1-Dimethyl-3-phenylpropan-1-yl acetate	HMDB0034556
1,1-Dimethyl-3-phenylpropyl 2-methylpropanoate	HMDB0037640
1,1-Dimethyl-3-phenylpropyl acetate	HMDB0034556
1,1-Dimethyl-3-phenylpropyl isobutyrate	HMDB0037640
1,1'-Dimethyl-4,4'-bipyridinium	HMDB0033121
1,1'-Dimethyl-4,4'-bipyridyldiylium	HMDB0033121
1,1-Dimethylallyl alchol	HMDB0033854
1, 1-Dimethylallyl alcohol	HMDB0033854
1,1-Dimethylallyl alcohol	HMDB0033854
1,1-Dimethylallyl caffeic acid ester	HMDB0041140
1, 1-Dimethylethylene oxide	HMDB0034431
1,1-Dimethylethylene oxide	HMDB0034431
1,1-Dimethyloxirane	HMDB0034431
1,1-Diphenyl-4-piperidin-1-yl-but-2-yn-1-ol	HMDB0038173
1,1-Diphenyl-4-piperidino-2-butyn-1-ol	HMDB0038173
1, 1'-Diphenyl	HMDB0034437
1,1'-Diphenyl	HMDB0034437
1,1'-Dithiobis(N,N-diethylthio-formamide	HMDB0034335
1,1'-Dithiobis(N,N-diethylthio)-formamide	HMDB0034335
1,1'-Dithiobis(N,N-diethylthioformamide)	HMDB0034335
1,1'-Dithiobis[N,N-diethylthioformamide]	HMDB0034335
1-(1-Ethoxyethoxy)-(3E)-3-hexene	HMDB0038783
1-(1-Ethoxyethoxy)-(3Z)-3-hexene	HMDB0038783
1-(1-Ethoxyethoxy)-(e)-3-hexene	HMDB0038783
1-(1-Ethoxyethoxy)-(Z)-3-hexene	HMDB0038783
